OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu000005	1	0.193844573584336	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_order_incertae_sedis	Acidobacteria_Gp6_family_incertae_sedis	Gp6
Otu000008	1	0.179362437413317	0.019	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobiaceae_unclassified
Otu000014	1	0.19487008171372	0.003	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_order_incertae_sedis	Acidobacteria_Gp6_family_incertae_sedis	Gp6
Otu000020	1	0.209471040419649	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_order_incertae_sedis	Acidobacteria_Gp6_family_incertae_sedis	Gp6
Otu000021	1	0.193639360839364	0.007	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_order_incertae_sedis	Subdivision3_family_incertae_sedis	3_genus_incertae_sedis
Otu000033	1	0.190893697943192	0.034	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Chitinophagaceae_unclassified
Otu000037	1	0.190987709862822	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Otu000047	1	0.225690877882875	0.022	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Otu000049	1	0.20046679875012	0.017	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000057	1	0.212562557710873	0.004	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	Lewinella
Otu000070	1	0.237223875195894	0.007	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000089	1	0.210539387581777	0.002	Bacteria	Acidobacteria	Acidobacteria_Gp5	Acidobacteria_Gp5_order_incertae_sedis	Acidobacteria_Gp5_family_incertae_sedis	Gp5
Otu000090	1	0.211843906316535	0.001	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000092	1	0.214147921393139	0.001	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_order_incertae_sedis	Subdivision3_family_incertae_sedis	3_genus_incertae_sedis
Otu000097	1	0.206542109689007	0.001	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria_order_incertae_sedis	Spartobacteria_family_incertae_sedis	Spartobacteria_genera_incertae_sedis
Otu000104	1	0.214848477086487	0.004	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000105	1	0.198567173491636	0.038	Bacteria	Acidobacteria	Acidobacteria_Gp4	Acidobacteria_Gp4_order_incertae_sedis	Acidobacteria_Gp4_family_incertae_sedis	Gp4
Otu000133	1	0.216071413356959	0.003	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_order_incertae_sedis	Acidobacteria_Gp6_family_incertae_sedis	Gp6
Otu000170	1	0.210506035774017	0.04	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000173	1	0.249847265488849	0.001	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu000178	1	0.222769267263277	0.024	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus
Otu000180	1	0.241019679111813	0.001	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified
Otu000192	1	0.213437890970136	0.037	Bacteria	Verrucomicrobia	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified	Verrucomicrobia_unclassified
Otu000199	1	0.243851495269679	0.003	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Otu000204	1	0.208639663568602	0.005	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000244	1	0.218703817111532	0.008	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu000258	1	0.199191041328783	0.041	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter
Otu000260	1	0.204649162396568	0.023	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000283	1	0.217920351256028	0.05	Bacteria	Acidobacteria	Acidobacteria_Gp17	Acidobacteria_Gp17_order_incertae_sedis	Acidobacteria_Gp17_family_incertae_sedis	Gp17
Otu000296	1	0.22489429966104	0.004	Bacteria	Acidobacteria	Acidobacteria_Gp22	Acidobacteria_Gp22_order_incertae_sedis	Acidobacteria_Gp22_family_incertae_sedis	Gp22
Otu000030	2	0.220875033765938	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga
Otu000044	2	0.191990332950838	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Otu000052	2	0.192216098555408	0.05	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria_order_incertae_sedis	Spartobacteria_family_incertae_sedis	Spartobacteria_genera_incertae_sedis
Otu000056	2	0.21188428707532	0.009	Bacteria	Acidobacteria	Acidobacteria_Gp6	Acidobacteria_Gp6_order_incertae_sedis	Acidobacteria_Gp6_family_incertae_sedis	Gp6
Otu000059	2	0.193815460702438	0.016	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000093	2	0.189022820853511	0.04	Bacteria	Firmicutes	Bacilli	Bacillales	Pasteuriaceae	Pasteuria
Otu000126	2	0.211548795013641	0.05	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu000140	2	0.205255481565972	0.009	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000143	2	0.198160723117579	0.036	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu000144	2	0.203527029032801	0.019	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu000177	2	0.208224526216917	0.041	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_order_incertae_sedis	Subdivision3_family_incertae_sedis	3_genus_incertae_sedis
Otu000189	2	0.22058702863153	0.001	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
