ID,Acer saccharinum,Aster lanceolatus var. simplex,BARE,Bidens frondosa,Carex sp.,Elymus virginicus,Impatiens capensis,Leersia virginica,Lemna minor,Lycopus virginicus,Morus alba,Persicaria pensylvanica,Phalaris arundinacea,Physostegia virginiana,Pilea pumila,Sicyos angulatus,Stachys palustris,Ulmus americana,Vitis riparia
HC_A1_SS1,0,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0
HC_A1_SS2,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0
HC_A1_SS3,0,0.043478261,0.652173913,0,0,0,0,0,0,0,0,0,0.260869565,0,0.043478261,0,0,0,0
HC_A1_SS4,0,0.037037037,0.925925926,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0
HC_A1_SS5,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.961538462,0,0,0,0,0,0
HC_A2_SS1,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0
HC_A2_SS2,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0
HC_A2_SS3,0,0.03125,0.1875,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0
HC_A2_SS4,0,0,0.531914894,0,0,0,0,0.319148936,0,0,0.127659574,0,0,0,0,0,0,0,0.021276596
HC_A2_SS5,0,0.03125,0.1875,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0
HC_A3_SS1,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0.971428571,0,0,0,0,0,0
HC_A3_SS2,0,0,0.193548387,0,0,0,0,0,0,0,0,0,0.806451613,0,0,0,0,0,0
HC_A3_SS3,0,0,0.193548387,0,0,0,0,0,0,0,0,0,0.806451613,0,0,0,0,0,0
HC_A3_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_A3_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_B1_SS1,0,0,0.971428571,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0
HC_B1_SS2,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_B1_SS3,0,0,0.85,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
HC_B1_SS4,0,0,0.85,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
HC_B1_SS5,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_B2_SS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_B2_SS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_B2_SS3,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_B2_SS4,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_B2_SS5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_B3_SS1,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_B3_SS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_B3_SS3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_B3_SS4,0,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0
HC_B3_SS5,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_C1_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_C1_SS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_C1_SS3,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0.971428571,0,0,0,0,0,0
HC_C1_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_C1_SS5,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0.961538462,0,0,0,0,0,0
HC_C2_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_C2_SS2,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_C2_SS3,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_C2_SS4,0,0,0.975,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0
HC_C2_SS5,0,0,0.85,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
HC_C3_SS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_C3_SS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_C3_SS3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC_C3_SS4,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
HC_C3_SS5,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0
HC_D1_SS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D1_SS2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D1_SS3,0,0,0.806451613,0,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0
HC_D1_SS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HC_D1_SS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
