SampleID,Plot,Treatment,RCGbiomass,NonRCGbiomass,Moisture
HC_A1_ss1_S1,A1,BalledBurlapped,0,0,28.48
HC_A1_ss2_S2,A1,BalledBurlapped,1.29,0,32.5
HC_A1_ss3_S3,A1,BalledBurlapped,0.29,0.07,33.35
HC_A1_ss4_S4,A1,BalledBurlapped,7.32,0,30.96
HC_A1_ss5_S5,A1,BalledBurlapped,7.21,0,33.95
HC_A2_ss1_S6,A2,BalledBurlapped,5.94,0,36.71
HC_A2_ss2_S7,A2,BalledBurlapped,2.3,0,32.53
HC_A2_ss3_S8,A2,BalledBurlapped,21.17,0,34.33
HC_A2_ss4_S9,A2,BalledBurlapped,0.52,3.42,27.52
HC_A2_ss5_S10,A2,BalledBurlapped,0.79,0,30.32
HC_A3_ss1_S11,A3,BalledBurlapped,1.4,0,35.47
HC_A3_ss2_S12,A3,BalledBurlapped,15.02,0,35.6
HC_A3_ss3_S13,A3,BalledBurlapped,16.12,0,33.78
HC_A3_ss4_S14,A3,BalledBurlapped,38.82,0,30.94
HC_A3_ss5_S15,A3,BalledBurlapped,5.85,0,31.13
HC_B1_ss1_S16,B1,Bareroot,0,0,32.51
HC_B1_ss2_S17,B1,Bareroot,0,0,32.1
HC_B1_ss3_S18,B1,Bareroot,0.03,0,31.25
HC_B1_ss4_S19,B1,Bareroot,0,0,27.58
HC_B1_ss5_S20,B1,Bareroot,1.16,0,26.7
HC_B2_ss1_S21,B2,Bareroot,0,0,27.5
HC_B2_ss2_S22,B2,Bareroot,0,0,27.68
HC_B2_ss3_S23,B2,Bareroot,0,0,26.72
HC_B2_ss4_S24,B2,Bareroot,0,0,34.69
HC_B2_ss5_S25,B2,Bareroot,0,0,33.65
HC_B3_ss1_S26,B3,Bareroot,0,0,29.39
HC_B3_ss2_S27,B3,Bareroot,0,0,31.02
HC_B3_ss3_S28,B3,Bareroot,0,0,31.57
HC_B3_ss4_S29,B3,Bareroot,0,0,27.66
HC_B3_ss5_S30,B3,Bareroot,0,0,27.24
HC_C1_ss1_S31,C1,Seedling,94.09,0,30.15
HC_C1_ss2_S32,C1,Seedling,143.81,0,34.28
HC_C1_ss3_S33,C1,Seedling,25.59,0,31.67
HC_C1_ss4_S34,C1,Seedling,38.4,0,32.51
HC_C1_ss5_S35,C1,Seedling,13.91,2.89,32.42
HC_C2_ss1_S36,C2,Seedling,0,0,24.98
HC_C2_ss2_S37,C2,Seedling,0,0,25.82
HC_C2_ss3_S38,C2,Seedling,0,0,28.02
HC_C2_ss4_S39,C2,Seedling,0,0,28.27
HC_C2_ss5_S40,C2,Seedling,0.01,0,28.16
HC_C3_ss1_S41,C3,Seedling,0,0,30.32
HC_C3_ss2_S42,C3,Seedling,0,0,28.89
HC_C3_ss3_S43,C3,Seedling,0,0,26.38
HC_C3_ss4_S44,C3,Seedling,3.72,0,32.39
HC_C3_ss5_S45,C3,Seedling,6.41,0,30.96
HC_D1_ss1_S46,D1,Acorn,64.41,0,31.65
HC_D1_ss2_S47,D1,Acorn,25.99,0,33.08
HC_D1_ss3_S48,D1,Acorn,NA,0,29.95
HC_D1_ss4_S49,D1,Acorn,127.2,0,30.11
HC_D1_ss5_S50,D1,Acorn,100.33,0,32.07
HC_D2_ss1_S51,D2,Acorn,45.97,0,35.57
HC_D2_ss2_S52,D2,Acorn,28.4,0,32.33
HC_D2_ss3_S53,D2,Acorn,29,0,33.39
HC_D2_ss4_S54,D2,Acorn,39.49,0,33.08
HC_D2_ss5_S55,D2,Acorn,39.77,0,35.15
HC_D3_ss1_S56,D3,Acorn,106.17,0,26.57
HC_D3_ss2_S57,D3,Acorn,22.22,0,30.57
HC_D3_ss3_S58,D3,Acorn,20.9,0,28.51
HC_D3_ss4_S59,D3,Acorn,46.85,0,31.44
HC_D3_ss5_S60,D3,Acorn,100.15,0,32.35
HC_E1_ss1_S61,E1,Seedbank,2.57,1.24,37.33
HC_E1_ss2_S62,E1,Seedbank,0,0,34.92
HC_E1_ss3_S63,E1,Seedbank,35.35,0,31.81
HC_E1_ss4_S64,E1,Seedbank,78.51,0,32.06
HC_E1_ss5_S65,E1,Seedbank,165.74,0,32.38
HC_E2_ss1_S66,E2,Seedbank,58.66,0,33.16
HC_E2_ss2_S67,E2,Seedbank,99.5,0,32.37
HC_E2_ss3_S68,E2,Seedbank,67.5,0,32.72
HC_E2_ss4_S69,E2,Seedbank,42.93,0,31
HC_E2_ss5_S70,E2,Seedbank,29.3,0,29.06
HC_E3_ss1_S71,E3,Seedbank,101.14,0,35.35
HC_E3_ss2_S73,E3,Seedbank,83.47,0,31.07
HC_E3_ss3_S74,E3,Seedbank,84.82,0,30.7
HC_E3_ss4_S75,E3,Seedbank,80.22,0,30.73
HC_E3_ss5_S76,E3,Seedbank,75.38,0,31.76
HC_R1_ss1_S77,R1,Reference,0,0.67,28.99
HC_R1_ss2_S78,R1,Reference,0,0,31.25
HC_R1_ss3_S79,R1,Reference,0,2.22,31.3
HC_R1_ss4_S80,R1,Reference,0,0.1,32.13
HC_R1_ss5_S81,R1,Reference,0.01,0,29.15
HC_R2_ss1_S82,R2,Reference,0.03,0,28.22
HC_R2_ss2_S83,R2,Reference,0,0,27.51
HC_R2_ss3_S84,R2,Reference,0,0,38.95
HC_R2_ss4_S85,R2,Reference,0,0,33.66
HC_R2_ss5_S86,R2,Reference,0,0,41.05
HC_R3_ss1_S87,R3,Reference,0.03,0,34.47
HC_R3_ss2_S88,R3,Reference,0,0,44.06
HC_R3_ss3_S89,R3,Reference,0,0,44.31
HC_R3_ss4_S90,R3,Reference,0,2.23,37.47
HC_R3_ss5_S91,R3,Reference,0,3.02,36.11
